gun,R,G,B,L
L,0,0,0,0.09
L,17,17,17,1.05
L,34,34,34,3.58
L,51,51,51,9.16
L,68,68,68,15.3
L,85,85,85,21.5
L,102,102,102,28.1
L,119,119,119,34.1
L,136,136,136,45.5
L,153,153,153,56
L,170,170,170,66.9
L,187,187,187,78.9
L,204,204,204,92.1
L,221,221,221,106.5
L,238,238,238,122.3
L,255,255,255,136.7
R,0,0,0,0.12
R,51,0,0,1.47
R,102,0,0,4.51
R,153,0,0,9.58
R,204,0,0,15.8
R,255,0,0,25.2
G,0,0,0,0.12
G,0,51,0,6.55
G,0,102,0,19.7
G,0,153,0,39.5
G,0,204,0,66.5
G,0,255,0,98.6
B,0,0,0,0.13
B,0,0,51,0.39
B,0,0,102,1.2
B,0,0,153,2.42
B,0,0,204,4.26
B,0,0,255,7.51
